Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,https://en.wikipedia.org/wiki/University_of_California_Santa_Barbara,https://www.history.ucsb.edu/wp-content/uploads/LagoonFall2014-banner.jpg
Twin Peaks,"Though at times windy and bitterly cold, this destination offers breathtaking views of San Francisco and the Bay Area.",37.754908,-122.446622,https://en.wikipedia.org/wiki/Twin_Peaks_(San_Francisco),https://upload.wikimedia.org/wikipedia/commons/a/a0/View_of_San_Francisco_from_the_top_of_the_Twin_Peaks.png
Oracle Park,"This ballpark is home to the San Francisco Giants and many historic moments. Over the years, I have attended dozens of games at this state-of-the-art stadium.",37.778069,-122.391273,https://en.wikipedia.org/wiki/Oracle_Park,https://upload.wikimedia.org/wikipedia/commons/6/63/ATT_Sunset_Panorama.jpg
San Francisco International Airport,"Every great adventure has a starting point. For me, SFO is often where many memorable journeys begin.",37.616997,-122.383731,https://en.wikipedia.org/wiki/San_Francisco_International_Airport,https://upload.wikimedia.org/wikipedia/commons/d/d1/SFO_international_terminal.jpg
Central Park,This is a beautiful space to take a break from the hustle and bustle of New York City. ,40.782222,-73.965278,https://en.wikipedia.org/wiki/Central_Park,https://upload.wikimedia.org/wikipedia/commons/0/05/Southwest_corner_of_Central_Park%2C_looking_east%2C_NYC.jpg
London,An exciting and dynamic city that serves as the capital of both England and the United Kingdom.,51.507222,-0.1275,https://en.wikipedia.org/wiki/London,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/London_Thames_Sunset_panorama_-_Feb_2008.jpg/1600px-London_Thames_Sunset_panorama_-_Feb_2008.jpg
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,, ,,,